Year,Canada,Italy,New Zealand,Spain
2007,70.50089264,71.62280273,70.28673553,71.99684906
2008,70.72147369,71.66785431,70.37667847,72.26609039
2009,70.85425568,71.80085754,70.55229187,72.53316498
2010,71.07483673,72.15266418,70.86067963,72.66778564
2011,71.29541779,72.28565979,71.03842926,73.42340851
2012,71.51599884,72.33071136,71.25901031,73.37998199
2013,71.63430023,72.72756195,71.479599,73.95972443
2014,71.79985046,73.07937622,71.47745514,74.09434509
2015,71.95877075,73.43118286,71.52307129,74.22897339
2016,72.11328888,73.7829895,71.56868744,74.36359406
2017,72.26780701,74.13479614,71.61430359,74.49821472
